TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,6.0000,9.0000,12.0000,11.0000,24.0000,12.0000
2000,6.0000,7.0000,14.0000,13.0000,24.0000,13.0000
3000,7.0000,7.0000,16.0000,13.0000,27.0000,13.0000
4000,7.0000,7.0000,16.0000,13.0000,29.0000,14.0000
5000,7.0000,9.0000,16.0000,14.0000,26.0000,15.0000
6000,7.0000,9.0000,15.0000,15.0000,26.0000,16.0000
7000,7.0000,9.0000,16.0000,14.0000,27.0000,15.0000
8000,7.0000,9.0000,18.0000,15.0000,29.0000,15.0000
9000,7.0000,9.0000,17.0000,15.0000,29.0000,15.0000
10000,7.0000,9.0000,17.0000,15.0000,26.0000,16.0000
