TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,0.6587,0.3695,0.4233,0.5650,0.5003,0.2177,0.4901,0.2396,0.2135
1444,0.7069,0.3333,0.4094,0.5736,0.5002,0.1642,0.4930,0.2499,0.1468
1888,0.7421,0.4012,0.4441,0.5813,0.5001,0.1504,0.4946,0.2406,0.1025
2333,0.7523,0.3556,0.4487,0.5649,0.5001,0.1418,0.4956,0.2544,0.2777
2777,0.7832,0.3731,0.4352,0.5436,0.5001,0.1293,0.4963,0.2491,0.2573
3222,0.8182,0.3796,0.4315,0.5419,0.5001,0.1210,0.4968,0.2492,0.2438
3666,0.8366,0.3816,0.4240,0.5284,0.5001,0.1086,0.4972,0.2431,0.2292
4111,0.8609,0.3334,0.4225,0.5286,0.5001,0.1006,0.4975,0.2538,0.2009
4555,0.8554,0.3732,0.4560,0.5202,0.5001,0.0924,0.4978,0.2544,0.1851
5000,0.8746,0.3662,0.4245,0.5182,0.5001,0.0847,0.4980,0.2540,0.1716
