TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,903.0000,872.0000,548.0000,1041.0000,2882.0000,1824.0000,490.0000
2000,1871.0000,1674.0000,1068.0000,2041.0000,5910.0000,3647.0000,575.0000
3000,2643.0000,2556.0000,1799.0000,3041.0000,8686.0000,5458.0000,651.0000
4000,3563.0000,3372.0000,2414.0000,4041.0000,11362.0000,7320.0000,766.0000
5000,4497.0000,4120.0000,2873.0000,5041.0000,14586.0000,9127.0000,907.0000
6000,5465.0000,4870.0000,3381.0000,6041.0000,17282.0000,10981.0000,1126.0000
7000,6469.0000,5772.0000,3916.0000,7041.0000,20002.0000,12756.0000,1374.0000
8000,7337.0000,6638.0000,4791.0000,8041.0000,23306.0000,14658.0000,1521.0000
9000,8309.0000,7528.0000,5441.0000,9041.0000,25942.0000,16459.0000,1790.0000
10000,9285.0000,8302.0000,6173.0000,10041.0000,28782.0000,18222.0000,2126.0000
